Date;VALUE;CAPITALIZATION;IMOEX, monthly average
2011-01-01;877413319881.0;;1740.9906666666668
2011-02-01;1186115464533.0;;1725.0450000000005
2011-03-01;1357242460811.0;;1762.039772727273
2011-04-01;1163913421014.0;;1797.1378571428572
2011-05-01;1003441601762.0;;1636.8442499999999
2011-06-01;977691479857.0;;1651.072380952381
2011-07-01;962875157355.0;;1709.573571428571
2011-08-01;1599512874868.0;;1513.7041304347829
2011-09-01;1402131691374.0;;1471.404090909091
2011-10-01;1547714849367.0;;1405.9842857142858
2011-11-01;1415584523643.0;;1461.2121428571431
2011-12-01;1156239818874.0;4896958052603.915;1413.6645454545455
2012-01-01;883262488579.0;5096335787005.754;1475.879761904762
2012-02-01;971494001828.0;5164504226668.458;1561.4785000000002
2012-03-01;1073370413998.0;5481484098099.426;1577.0671428571432
2012-04-01;834644208027.0;5191277532383.384;1492.1047619047617
2012-05-01;896135375232.0;4675736311624.24;1342.7578260869566
2012-06-01;684334132628.0;4692267210485.88;1343.783
2012-07-01;681870192140.0;4912180827511.051;1410.869772727273
2012-08-01;653252027888.0;4991963829381.397;1441.136086956522
2012-09-01;774404854135.0;4647604722522.066;1476.1367500000001
2012-10-01;634035230981.0;3857894098110.564;1458.8408695652172
2012-11-01;560434484212.0;3875549889466.9165;1402.6085714285714
2012-12-01;487419683074.0;4362456983469.583;1458.8087500000001
2013-01-01;540237126708.0;4982362905743.076;1527.7522222222224
2013-02-01;578147913680.0;4929344169999.592;1516.095
2013-03-01;594832287742.0;4789159973597.003;1467.7205
2013-04-01;637359809203.0;4539278796508.688;1385.5009090909089
2013-05-01;589203642253.0;4376683539683.1816;1400.252380952381
2013-06-01;559651072859.0;5050706176000.628;1318.0047368421056
2013-07-01;578442716266.0;5888677527017.384;1381.6497826086957
2013-08-01;481022327296.0;6168292171435.262;1383.2895454545455
2013-09-01;675774272131.0;6623746019549.289;1446.712380952381
2013-10-01;739374494636.0;7068227007153.5625;1503.6236956521739
2013-11-01;663564499189.0;7020869705792.578;1496.2702499999998
2013-12-01;658820297472.0;6801694370988.786;1475.0626190476191
2014-01-01;659189065095.0;6679003648121.492;1479.5276315789474
2014-02-01;640643617905.0;6667969098381.893;1475.676
2014-03-01;1231987751785.0;5944186511060.319;1315.62
2014-04-01;881968386126.0;6039812769965.419;1337.325
2014-05-01;764373075077.0;6295820003172.526;1391.5749999999998
2014-06-01;663186721541.0;6698584832788.731;1482.8523684210527
2014-07-01;743925873178.0;6532593823333.209;1450.3365217391306
2014-08-01;627923409169.0;6331014476550.442;1403.5221428571426
2014-09-01;692459849512.0;6682766923792.166;1442.705
2014-10-01;736479848114.0;6645164070484.643;1394.928043478261
2014-11-01;680566648392.0;7218099251701.106;1514.4618421052633
2014-12-01;1092193788048.0;6910683457885.903;1473.3052272727273
2015-01-01;657958113334.0;7341123140397.65;1580.2384210526318
2015-02-01;863540995349.0;8128077667523.793;1752.8589473684212
2015-03-01;720053006059.0;7731285511453.847;1662.0554761904764
2015-04-01;819421164908.0;7879635548765.541;1674.836590909091
2015-05-01;574351365251.0;7860700129276.42;1675.8411111111113
2015-06-01;568328028049.0;7742065015614.594;1649.1816666666666
2015-07-01;633718833580.0;7628329769206.888;1625.158043478261
2015-08-01;658019892165.0;7908937174056.323;1684.7788095238095
2015-09-01;611322339144.0;7893366159355.581;1691.990909090909
2015-10-01;770901921962.0;7935544328737.744;1697.8681818181822
2015-11-01;723488266876.0;8280903670113.966;1780.08175
2015-12-01;645586222983.0;8127076365354.887;1744.384772727273
2016-01-01;643159550453.0;7973934956144.326;1698.0324999999998
2016-02-01;693912168064.0;8311161571732.728;1769.993095238095
2016-03-01;788735226868.0;8794010620072.647;1872.4743181818185
2016-04-01;882179528506.0;8991283649940.285;1908.9090476190472
2016-05-01;629811369056.0;8946387331626.775;1905.3323684210527
2016-06-01;664466168247.0;8814542182784.73;1895.6492857142857
2016-07-01;600710535274.0;8840761131795.873;1917.9488095238094
2016-08-01;551413581288.0;9035045251247.922;1962.2497826086953
2016-09-01;594930677738.0;9352005196547.469;2004.571590909091
2016-10-01;478608589517.0;9346995979439.379;1976.4214285714288
2016-11-01;728756920209.0;9630437682336.45;2037.1142857142854
2016-12-01;813899344961.0;10334119129957.133;2193.630227272727
2017-01-01;685220118182.0;10347655002863.879;2206.5249999999996
2017-02-01;609004966260.0;10086117029660.256;2154.388421052631
2017-03-01;722282156394.0;9590974228023.914;2026.1388636363633
2017-04-01;605157742023.0;9472732228363.86;1979.2024999999999
